fuel,region,estimation_t,consumption_t,Year,type,kinitial,estimation_consumption,kfinal
E,SC,383236.11,382289.740718776,2049,projection,1,1.00247552884742,0.99753058426247
E,SC,383236.11,382136.826720154,2048,projection,1,1.00287667453901,0.997131576980453
E,SC,383236.11,381959.319556306,2047,projection,1,1.00334273933983,0.996668397339451
E,SC,383236.11,381753.292642994,2046,projection,1,1.00388422938474,0.996130799477623
E,SC,383236.11,381514.20246949,2045,projection,1,1.00451335106102,0.995506927751381
E,SC,383236.11,381236.795148712,2044,projection,1,1.00524428616736,0.994783072891311
E,SC,383236.11,380915.000027529,2043,projection,1,1.00609351160312,0.993943394393417
E,SC,383236.11,380541.808997966,2042,projection,1,1.00708017079419,0.992969605598925
E,SC,383236.11,380109.140171072,2041,projection,1,1.00822650522826,0.99184061797066
E,SC,383236.11,379607.684675062,2040,projection,1,1.0095583558274,0.990532141334651
E,SC,383236.11,379026.735552546,2039,projection,1,1.01110574545967,0.989016237411829
E,SC,383236.11,378353.998103108,2038,projection,1,1.01290355572128,0.987260824934028
E,SC,383236.11,377575.381605316,2037,projection,1,1.01499231324515,0.985229136172258
E,SC,383236.11,376674.773229254,2036,projection,1,1.01741910326114,0.98287912699368
E,SC,383236.11,375633.79620683,2035,projection,1,1.02023863100163,0.980162845841511
E,SC,383236.11,374431.556069586,2034,projection,1,1.02351445487885,0.977025771578742
E,SC,383236.11,373044.381115576,2033,projection,1,1.02732041923255,0.973406136273474
E,SC,383236.11,371445.566361735,2032,projection,1,1.03174231894528,0.969234257079102
E,SC,383236.11,369605.134208336,2031,projection,1,1.03687983344945,0.964431911722349
E,SC,383236.11,367489.629998675,2030,projection,1,1.0428487737229,0.958911805045394
E,SC,383236.11,365061.976655448,2029,projection,1,1.04978369292539,0.952577189700229
