array_x,g,veh,fuel,type_emi,pollutant,age,hour
array_x_25,517.901737010648,PV_MEDIUM_G,G,Exhaust,FC,25,4
array_x_26,27.0742369977952,PV_MEDIUM_G,G,Exhaust,FC,26,4
array_x_27,0.905643000999319,PV_MEDIUM_G,G,Exhaust,FC,27,4
array_x_28,0.0184470997567758,PV_MEDIUM_G,G,Exhaust,FC,28,4
array_x_29,0.000217006520238268,PV_MEDIUM_G,G,Exhaust,FC,29,4
array_x_30,1.39340237239282e-06,PV_MEDIUM_G,G,Exhaust,FC,30,4
array_x_1,12612584.1088996,PV_MEDIUM_G,G,Exhaust,FC,1,5
array_x_2,12329691.3865838,PV_MEDIUM_G,G,Exhaust,FC,2,5
array_x_3,9170441.83156449,PV_MEDIUM_G,G,Exhaust,FC,3,5
array_x_4,9663522.62822525,PV_MEDIUM_G,G,Exhaust,FC,4,5
array_x_5,9671847.20933584,PV_MEDIUM_G,G,Exhaust,FC,5,5
array_x_6,11907803.3129293,PV_MEDIUM_G,G,Exhaust,FC,6,5
array_x_7,10967490.7342699,PV_MEDIUM_G,G,Exhaust,FC,7,5
array_x_8,10039479.0453368,PV_MEDIUM_G,G,Exhaust,FC,8,5
array_x_9,8723620.41667463,PV_MEDIUM_G,G,Exhaust,FC,9,5
array_x_10,9819033.41028026,PV_MEDIUM_G,G,Exhaust,FC,10,5
array_x_11,8913426.44692409,PV_MEDIUM_G,G,Exhaust,FC,11,5
array_x_12,5065769.02663332,PV_MEDIUM_G,G,Exhaust,FC,12,5
array_x_13,9693798.85022757,PV_MEDIUM_G,G,Exhaust,FC,13,5
array_x_14,5646204.19295333,PV_MEDIUM_G,G,Exhaust,FC,14,5
array_x_15,2778264.26142572,PV_MEDIUM_G,G,Exhaust,FC,15,5
array_x_16,1602623.17671981,PV_MEDIUM_G,G,Exhaust,FC,16,5
array_x_17,785837.88639207,PV_MEDIUM_G,G,Exhaust,FC,17,5
array_x_18,371702.331280272,PV_MEDIUM_G,G,Exhaust,FC,18,5
